quorumCheckOnRead,ongaroLeaseEnabled,leaseGuardEnabled,deferCommitEnabled,inheritLeaseEnabled,write_ratio,reads,writes,opsPerSec_read,opsPerSec_write,p50latencyNanos_read,p50latencyNanos_write,total_ops_per_sec,combined_p50_ms
False,False,False,False,False,0.0,75000,0,4999.82,0.0,59511.333333333336,0.0,4999.82,0.05951133333333333
False,False,False,False,False,0.0,150000,0,9999.236666666666,0.0,62107.666666666664,0.0,9999.236666666666,0.06210766666666667
False,False,False,False,False,0.0,225000,0,14999.766666666668,0.0,70885.33333333333,0.0,14999.766666666668,0.07088533333333333
False,False,False,False,False,0.0,300000,0,19999.5,0.0,68048.33333333333,0.0,19999.5,0.06804833333333332
False,False,False,False,False,0.0,375000,0,21930.600000000002,0.0,87919.33333333333,0.0,21930.600000000002,0.08791933333333332
False,False,False,False,False,0.0,450000,0,29999.533333333336,0.0,91312.0,0.0,29999.533333333336,0.091312
False,False,False,False,False,0.0,525000,0,34999.63333333333,0.0,108045.66666666667,0.0,34999.63333333333,0.10804566666666666
False,False,False,False,False,0.0,600000,0,39998.666666666664,0.0,115042.66666666667,0.0,39998.666666666664,0.11504266666666668
False,False,False,False,False,0.0,675000,0,44999.06666666667,0.0,115796.0,0.0,44999.06666666667,0.11579599999999998
False,False,False,False,False,0.0,750000,0,49998.53333333333,0.0,122895.33333333333,0.0,49998.53333333333,0.12289533333333333
False,False,False,False,False,0.0,825000,0,55000.93333333333,0.0,125142.0,0.0,55000.93333333333,0.125142
False,False,False,False,False,0.0,900000,0,52282.833333333336,0.0,126584.66666666667,0.0,52282.833333333336,0.12658466666666668
False,False,False,False,False,0.0,975000,0,65000.6,0.0,127672.66666666667,0.0,65000.6,0.12767266666666668
False,False,False,False,False,0.0,1050000,0,70001.36666666665,0.0,129686.33333333333,0.0,70001.36666666665,0.12968633333333332
False,False,False,False,False,0.0,1125000,0,74999.56666666667,0.0,129985.66666666667,0.0,74999.56666666667,0.12998566666666667
False,False,False,False,False,0.0,1200000,0,79997.1,0.0,134454.66666666666,0.0,79997.1,0.13445466666666667
False,False,True,True,True,0.0,75000,0,2021.2783333333334,0.0,60963.666666666664,0.0,2021.2783333333334,0.060963666666666666
False,False,True,True,True,0.0,150000,0,9999.756666666666,0.0,61007.333333333336,0.0,9999.756666666666,0.06100733333333334
False,False,True,True,True,0.0,225000,0,14999.799999999997,0.0,59085.0,0.0,14999.799999999997,0.059085
False,False,True,True,True,0.0,300000,0,19999.5,0.0,71034.0,0.0,19999.5,0.071034
