operationType,recordedAtNanos,latencyNanos,quorumCheckOnRead,leaseEnabled,deferCommitEnabled,inheritLeaseEnabled
read,1738554453564043400,1003153,False,False,False,False
read,1738554453565046768,3039033,False,False,False,False
read,1738554453568086013,1925132,False,False,False,False
read,1738554453570011407,603196,False,False,False,False
read,1738554453570614732,912111,False,False,False,False
read,1738554453571527040,418820,False,False,False,False
read,1738554453571945983,626121,False,False,False,False
read,1738554453572572232,975455,False,False,False,False
read,1738554453573547875,1326282,False,False,False,False
read,1738554453574874365,1058476,False,False,False,False
read,1738554453575933054,478342,False,False,False,False
read,1738554453576411691,324066,False,False,False,False
read,1738554453576735986,1150486,False,False,False,False
read,1738554453577886688,1854179,False,False,False,False
read,1738554453579741039,1272538,False,False,False,False
read,1738554453581013708,915675,False,False,False,False
read,1738554453581929500,640358,False,False,False,False
read,1738554453582570091,1822679,False,False,False,False
read,1738554453584393003,1759595,False,False,False,False
read,1738554453586152910,759665,False,False,False,False
read,1738554453586912828,4917781,False,False,False,False
read,1738554453591830841,796366,False,False,False,False
read,1738554453592627342,813968,False,False,False,False
read,1738554453593441436,925903,False,False,False,False
read,1738554453594367491,914604,False,False,False,False
read,1738554453595282305,1526588,False,False,False,False
read,1738554453596809144,1010908,False,False,False,False
read,1738554453597820179,1015838,False,False,False,False
read,1738554453598836161,856097,False,False,False,False
read,1738554453599692503,680370,False,False,False,False
read,1738554453600373017,4838478,False,False,False,False
read,1738554453605211651,1403248,False,False,False,False
read,1738554453606615056,699001,False,False,False,False
read,1738554453607314335,1038409,False,False,False,False
read,1738554453608352867,586173,False,False,False,False
read,1738554453608939167,609164,False,False,False,False
read,1738554453609548682,733707,False,False,False,False
read,1738554453610282600,1182587,False,False,False,False
read,1738554453611465393,995538,False,False,False,False
read,1738554453612461053,1260184,False,False,False,False
read,1738554453613721513,1045433,False,False,False,False
read,1738554453614767245,1269891,False,False,False,False
read,1738554453616037360,556294,False,False,False,False
read,1738554453616593870,1665093,False,False,False,False
read,1738554453618259248,1502609,False,False,False,False
read,1738554453619762064,721948,False,False,False,False
read,1738554453620484232,547894,False,False,False,False
read,1738554453621032416,532191,False,False,False,False
read,1738554453621564756,1585156,False,False,False,False
read,1738554453623150221,928993,False,False,False,False
read,1738554453624079509,726136,False,False,False,False
read,1738554453624805880,1023159,False,False,False,False
read,1738554453625829169,1586767,False,False,False,False
read,1738554453627416203,2206893,False,False,False,False
read,1738554453629623322,888677,False,False,False,False
read,1738554453630512138,549095,False,False,False,False
read,1738554453631061335,614528,False,False,False,False
read,1738554453631676001,554562,False,False,False,False
read,1738554453632230739,683673,False,False,False,False
read,1738554453632914637,1113831,False,False,False,False
read,1738554453634028609,1782040,False,False,False,False
read,1738554453635810900,511636,False,False,False,False
read,1738554453636322678,964591,False,False,False,False
read,1738554453637287450,697651,False,False,False,False
read,1738554453637985227,740844,False,False,False,False
read,1738554453638726311,609074,False,False,False,False
read,1738554453639335516,533587,False,False,False,False
read,1738554453639869240,2067789,False,False,False,False
read,1738554453641937152,757791,False,False,False,False
read,1738554453642695173,371321,False,False,False,False
read,1738554453643066622,364208,False,False,False,False
read,1738554453643430945,554967,False,False,False,False
read,1738554453643986042,1922150,False,False,False,False
read,1738554453645908425,946039,False,False,False,False
read,1738554453646854608,564154,False,False,False,False
read,1738554453647418894,1213320,False,False,False,False
read,1738554453648638265,486842,False,False,False,False
read,1738554453649125320,586138,False,False,False,False
read,1738554453649711574,642996,False,False,False,False
read,1738554453650354690,519678,False,False,False,False
read,1738554453650874488,506146,False,False,False,False
read,1738554453651380834,3709160,False,False,False,False
read,1738554453655090190,1034323,False,False,False,False
read,1738554453656124628,896871,False,False,False,False
read,1738554453657021849,1053694,False,False,False,False
read,1738554453658075752,689221,False,False,False,False
read,1738554453658765193,725845,False,False,False,False
read,1738554453659491326,545197,False,False,False,False
read,1738554453660036805,588072,False,False,False,False
read,1738554453660625107,1853704,False,False,False,False
read,1738554453662479006,948904,False,False,False,False
read,1738554453663428059,641501,False,False,False,False
read,1738554453664069673,1259993,False,False,False,False
read,1738554453665329889,668836,False,False,False,False
read,1738554453665998964,396493,False,False,False,False
read,1738554453666395701,509250,False,False,False,False
read,1738554453666905075,671102,False,False,False,False
read,1738554453667576392,794859,False,False,False,False
read,1738554453668371370,1209176,False,False,False,False
read,1738554453669580666,1514528,False,False,False,False
read,1738554453671095307,507294,False,False,False,False
read,1738554453671602809,1012149,False,False,False,False
read,1738554453672615184,1062918,False,False,False,False
read,1738554453673678267,1106063,False,False,False,False
read,1738554453674784564,890099,False,False,False,False
read,1738554453675674922,543880,False,False,False,False
read,1738554453676218923,945243,False,False,False,False
read,1738554453677164304,3741983,False,False,False,False
read,1738554453680906415,661225,False,False,False,False
read,1738554453681567864,655276,False,False,False,False
read,1738554453682223358,906672,False,False,False,False
read,1738554453683140278,606532,False,False,False,False
read,1738554453683747424,571592,False,False,False,False
read,1738554453684319248,525668,False,False,False,False
read,1738554453684845122,798083,False,False,False,False
read,1738554453685643476,1120965,False,False,False,False
read,1738554453686764662,680307,False,False,False,False
read,1738554453687445182,878465,False,False,False,False
read,1738554453688323851,694058,False,False,False,False
read,1738554453689018196,870699,False,False,False,False
read,1738554453689889067,578226,False,False,False,False
read,1738554453690467651,646025,False,False,False,False
read,1738554453691113785,630614,False,False,False,False
read,1738554453691744532,558712,False,False,False,False
read,1738554453692303434,999359,False,False,False,False
read,1738554453693308880,531192,False,False,False,False
read,1738554453693840272,1100178,False,False,False,False
read,1738554453694940741,1009253,False,False,False,False
read,1738554453695950233,1094103,False,False,False,False
read,1738554453697044554,664996,False,False,False,False
read,1738554453697709873,1168281,False,False,False,False
read,1738554453698878462,639347,False,False,False,False
read,1738554453699517964,771780,False,False,False,False
read,1738554453700289960,588657,False,False,False,False
read,1738554453700878775,1447599,False,False,False,False
read,1738554453702326626,935277,False,False,False,False
read,1738554453703262007,422295,False,False,False,False
read,1738554453703684614,545603,False,False,False,False
read,1738554453704230641,788885,False,False,False,False
read,1738554453705019837,1477641,False,False,False,False
read,1738554453706497691,493504,False,False,False,False
read,1738554453706991449,892020,False,False,False,False
read,1738554453707883685,2067155,False,False,False,False
read,1738554453709951181,1175107,False,False,False,False
read,1738554453711126735,897695,False,False,False,False
read,1738554453712024631,882123,False,False,False,False
read,1738554453712906936,585033,False,False,False,False
read,1738554453713492090,1125698,False,False,False,False
read,1738554453714617929,450011,False,False,False,False
read,1738554453715068219,646103,False,False,False,False
read,1738554453715714446,1041054,False,False,False,False
read,1738554453716755600,1506825,False,False,False,False
read,1738554453718262544,2652420,False,False,False,False
read,1738554453720915234,686875,False,False,False,False
read,1738554453721602372,675095,False,False,False,False
read,1738554453722277616,439315,False,False,False,False
read,1738554453722723426,951555,False,False,False,False
read,1738554453723675182,1579521,False,False,False,False
read,1738554453725254812,1823208,False,False,False,False
read,1738554453727078179,923644,False,False,False,False
read,1738554453728002117,687816,False,False,False,False
read,1738554453728690123,915065,False,False,False,False
read,1738554453729605285,863501,False,False,False,False
read,1738554453730468902,568437,False,False,False,False
read,1738554453731037464,685997,False,False,False,False
read,1738554453731723553,1071360,False,False,False,False
read,1738554453732796314,308355,False,False,False,False
read,1738554453733104824,2523042,False,False,False,False
read,1738554453735628001,841259,False,False,False,False
read,1738554453736469561,578010,False,False,False,False
read,1738554453737047697,541528,False,False,False,False
read,1738554453737589343,598719,False,False,False,False
read,1738554453738188362,1495686,False,False,False,False
read,1738554453739684335,592620,False,False,False,False
read,1738554453740277111,591679,False,False,False,False
read,1738554453740868928,721816,False,False,False,False
read,1738554453741590889,660570,False,False,False,False
read,1738554453742251713,984473,False,False,False,False
read,1738554453743236334,652745,False,False,False,False
read,1738554453743889387,405359,False,False,False,False
read,1738554453744294875,570327,False,False,False,False
read,1738554453744865426,538095,False,False,False,False
read,1738554453745403641,1408929,False,False,False,False
read,1738554453746812711,1279718,False,False,False,False
read,1738554453748092602,728025,False,False,False,False
read,1738554453748820739,780702,False,False,False,False
read,1738554453749601724,1724786,False,False,False,False
read,1738554453751326662,420462,False,False,False,False
read,1738554453751747249,762663,False,False,False,False
read,1738554453752510204,2173190,False,False,False,False
read,1738554453754683773,1110506,False,False,False,False
read,1738554453755794500,651289,False,False,False,False
read,1738554453756445910,540936,False,False,False,False
read,1738554453756987202,1906289,False,False,False,False
read,1738554453758893705,1210088,False,False,False,False
read,1738554453760104017,557601,False,False,False,False
read,1738554453760661787,909146,False,False,False,False
read,1738554453761571365,2404826,False,False,False,False
read,1738554453763976401,2039935,False,False,False,False
read,1738554453766016750,1252751,False,False,False,False
read,1738554453767269685,664563,False,False,False,False
read,1738554453767934497,662478,False,False,False,False
read,1738554453768597095,757918,False,False,False,False
read,1738554453769355126,769793,False,False,False,False
read,1738554453770124992,825582,False,False,False,False
read,1738554453770950770,806682,False,False,False,False
read,1738554453771757580,540252,False,False,False,False
read,1738554453772297954,587796,False,False,False,False
read,1738554453772885891,596341,False,False,False,False
read,1738554453773482452,960996,False,False,False,False
read,1738554453774443666,1264862,False,False,False,False
read,1738554453775708736,817496,False,False,False,False
read,1738554453776526421,507646,False,False,False,False
read,1738554453777034384,765025,False,False,False,False
read,1738554453777799563,3210641,False,False,False,False
read,1738554453781010378,586735,False,False,False,False
read,1738554453781597250,1322498,False,False,False,False
read,1738554453782920008,864216,False,False,False,False
read,1738554453783784553,509048,False,False,False,False
read,1738554453784293786,374333,False,False,False,False
read,1738554453784668225,1930400,False,False,False,False
read,1738554453786598998,545995,False,False,False,False
read,1738554453787145149,818675,False,False,False,False
read,1738554453787964078,547678,False,False,False,False
read,1738554453788511866,649137,False,False,False,False
read,1738554453789161210,1273166,False,False,False,False
read,1738554453790434763,1043587,False,False,False,False
read,1738554453791478481,887167,False,False,False,False
read,1738554453792365776,702662,False,False,False,False
read,1738554453793068659,811996,False,False,False,False
read,1738554453793880827,1837147,False,False,False,False
read,1738554453795718121,752263,False,False,False,False
read,1738554453796470516,532999,False,False,False,False
read,1738554453797003765,1703321,False,False,False,False
read,1738554453798707306,921330,False,False,False,False
read,1738554453799628780,577379,False,False,False,False
read,1738554453800206289,777096,False,False,False,False
read,1738554453800983621,852972,False,False,False,False
read,1738554453801836729,886498,False,False,False,False
read,1738554453802723354,523838,False,False,False,False
read,1738554453803247371,478697,False,False,False,False
read,1738554453803726273,2699352,False,False,False,False
read,1738554453806425853,4617791,False,False,False,False
read,1738554453811043952,847658,False,False,False,False
read,1738554453811891764,568736,False,False,False,False
read,1738554453812460727,1834682,False,False,False,False
read,1738554453814295570,913392,False,False,False,False
read,1738554453815209118,716604,False,False,False,False
read,1738554453815925855,582824,False,False,False,False
read,1738554453816508906,1181406,False,False,False,False
read,1738554453817690442,724169,False,False,False,False
read,1738554453818414771,711536,False,False,False,False
read,1738554453819126408,686321,False,False,False,False
read,1738554453819812940,695365,False,False,False,False
read,1738554453820508440,946182,False,False,False,False
read,1738554453821454771,822232,False,False,False,False
read,1738554453822277156,672032,False,False,False,False
read,1738554453822949412,733944,False,False,False,False
read,1738554453823683577,945215,False,False,False,False
read,1738554453824628950,713800,False,False,False,False
read,1738554453825342909,3826200,False,False,False,False
read,1738554453829169483,996907,False,False,False,False
read,1738554453830166532,650736,False,False,False,False
read,1738554453830817419,578939,False,False,False,False
read,1738554453831396506,914404,False,False,False,False
read,1738554453832311182,1521285,False,False,False,False
read,1738554453833832866,939504,False,False,False,False
read,1738554453834772601,658854,False,False,False,False
read,1738554453835431696,750219,False,False,False,False
read,1738554453836182191,1696586,False,False,False,False
read,1738554453837878916,412256,False,False,False,False
read,1738554453838291308,413797,False,False,False,False
read,1738554453838705243,710188,False,False,False,False
read,1738554453839415739,1132173,False,False,False,False
read,1738554453840548020,985906,False,False,False,False
read,1738554453841534094,574470,False,False,False,False
read,1738554453842108697,670515,False,False,False,False
read,1738554453842779443,1067151,False,False,False,False
read,1738554453843846818,912651,False,False,False,False
read,1738554453844759685,1052832,False,False,False,False
read,1738554453845812880,595572,False,False,False,False
read,1738554453846408812,571076,False,False,False,False
read,1738554453846980042,976191,False,False,False,False
read,1738554453847956389,1070562,False,False,False,False
read,1738554453849027118,809638,False,False,False,False
read,1738554453849837011,524376,False,False,False,False
read,1738554453850361622,562846,False,False,False,False
read,1738554453850924602,691838,False,False,False,False
read,1738554453851616588,1544136,False,False,False,False
read,1738554453853160968,553304,False,False,False,False
read,1738554453853714413,535874,False,False,False,False
read,1738554453854250456,1119505,False,False,False,False
read,1738554453855370097,820306,False,False,False,False
read,1738554453856190566,580183,False,False,False,False
read,1738554453856770971,604348,False,False,False,False
read,1738554453857375430,836953,False,False,False,False
read,1738554453858212519,798543,False,False,False,False
read,1738554453859011295,817582,False,False,False,False
read,1738554453859829208,552111,False,False,False,False
read,1738554453860381483,1003407,False,False,False,False
read,1738554453861385040,979412,False,False,False,False
read,1738554453862364856,1002718,False,False,False,False
read,1738554453863367731,553041,False,False,False,False
read,1738554453863920915,1798963,False,False,False,False
read,1738554453865720018,727786,False,False,False,False
read,1738554453866448014,625147,False,False,False,False
read,1738554453867073317,411962,False,False,False,False
read,1738554453867485417,606345,False,False,False,False
read,1738554453868091902,1555493,False,False,False,False
read,1738554453869647608,1073626,False,False,False,False
read,1738554453870721538,491442,False,False,False,False
read,1738554453871213109,500544,False,False,False,False
read,1738554453871713761,505084,False,False,False,False
read,1738554453872219062,770252,False,False,False,False
read,1738554453872989550,961326,False,False,False,False
read,1738554453873951013,1002465,False,False,False,False
read,1738554453874953780,575859,False,False,False,False
read,1738554453875529908,535086,False,False,False,False
read,1738554453876065103,568944,False,False,False,False
read,1738554453876634120,1736062,False,False,False,False
read,1738554453878370322,429015,False,False,False,False
read,1738554453878799542,2018591,False,False,False,False
read,1738554453880818349,902896,False,False,False,False
read,1738554453881721578,2021052,False,False,False,False
read,1738554453883742900,548487,False,False,False,False
read,1738554453884291596,1143452,False,False,False,False
read,1738554453885435162,837023,False,False,False,False
read,1738554453886272308,728694,False,False,False,False
read,1738554453887001108,749870,False,False,False,False
read,1738554453887751086,634796,False,False,False,False
read,1738554453888386018,960580,False,False,False,False
read,1738554453889346716,506471,False,False,False,False
read,1738554453889853388,742257,False,False,False,False
read,1738554453890595880,608676,False,False,False,False
read,1738554453891204675,560533,False,False,False,False
read,1738554453891765342,1953498,False,False,False,False
read,1738554453893718972,1395069,False,False,False,False
read,1738554453895114350,1046439,False,False,False,False
read,1738554453896160910,442016,False,False,False,False
read,1738554453896603062,895155,False,False,False,False
read,1738554453897498411,706496,False,False,False,False
read,1738554453898205116,583234,False,False,False,False
read,1738554453898788487,1807028,False,False,False,False
read,1738554453900595653,1253689,False,False,False,False
read,1738554453901849467,2012040,False,False,False,False
read,1738554453903861697,773180,False,False,False,False
read,1738554453904635212,538752,False,False,False,False
read,1738554453905174092,512327,False,False,False,False
read,1738554453905686556,741967,False,False,False,False
read,1738554453906428741,1852466,False,False,False,False
read,1738554453908281350,858560,False,False,False,False
read,1738554453909140039,1389178,False,False,False,False
read,1738554453910529340,2452606,False,False,False,False
read,1738554453912982172,1321006,False,False,False,False
read,1738554453914303315,1195299,False,False,False,False
read,1738554453915498793,1202550,False,False,False,False
read,1738554453916701479,1076720,False,False,False,False
read,1738554453917778433,743242,False,False,False,False
read,1738554453918521883,1243353,False,False,False,False
read,1738554453919765442,578338,False,False,False,False
read,1738554453920343987,815045541,False,False,False,False
read,1738554454735389830,589101,False,False,False,False
read,1738554454735979080,266102,False,False,False,False
read,1738554454736245362,647699,False,False,False,False
read,1738554454736893190,401035,False,False,False,False
read,1738554454737294361,595568,False,False,False,False
read,1738554454737890076,933247,False,False,False,False
read,1738554454738835121,653357,False,False,False,False
read,1738554454739488825,721692,False,False,False,False
read,1738554454740210811,746458,False,False,False,False
read,1738554454740957421,368988,False,False,False,False
read,1738554454741326666,1400496,False,False,False,False
read,1738554454742727379,1107823,False,False,False,False
read,1738554454743835580,669605,False,False,False,False
read,1738554454744512837,653140,False,False,False,False
read,1738554454745166101,633266,False,False,False,False
read,1738554454745799489,290246,False,False,False,False
read,1738554454746090021,472530,False,False,False,False
read,1738554454746562667,926763,False,False,False,False
read,1738554454747489623,552344,False,False,False,False
read,1738554454748042111,313071,False,False,False,False
read,1738554454748355394,553211,False,False,False,False
read,1738554454748909172,158155,False,False,False,False
read,1738554454749067469,361907,False,False,False,False
read,1738554454749429514,1490982,False,False,False,False
read,1738554454750920738,857038,False,False,False,False
read,1738554454751778106,619007,False,False,False,False
read,1738554454752397273,636818,False,False,False,False
read,1738554454753034241,708534,False,False,False,False
read,1738554454753743030,537739,False,False,False,False
read,1738554454754280889,1085746,False,False,False,False
read,1738554454755366765,261446,False,False,False,False
read,1738554454755628337,504193,False,False,False,False
read,1738554454756132934,779540,False,False,False,False
