quorumCheckOnRead,ongaroLeaseEnabled,leaseGuardEnabled,deferCommitEnabled,inheritLeaseEnabled,write_ratio,reads,writes,opsPerSec_read,opsPerSec_write,p50latencyNanos_read,p50latencyNanos_write,total_ops_per_sec,combined_p50_ms
False,False,False,False,False,0.75,18750,56250,1171.7733333333333,3515.5066666666667,88552.0,4550535.666666667,4687.28,3.4350841736112296
False,False,False,False,False,0.75,37500,112500,2086.516666666667,6259.143333333333,94330.66666666667,4900205.333333333,8345.66,3.698678121595602
False,False,False,False,False,0.75,56250,168750,3515.5033333333336,10546.566666666668,93904.0,5281207.0,14062.070000000002,3.984386475887263
False,False,False,False,False,0.75,75000,225000,4561.246666666667,13681.933333333334,101029.0,5807657.666666667,18243.18,4.380859214656778
False,False,False,False,False,0.75,93750,281250,5859.026666666668,17577.333333333332,139020.0,6421295.666666667,23436.36,4.850743726930671
False,False,False,False,False,0.75,112500,337500,7030.829999999999,21092.633333333335,309425.3333333333,7093712.666666667,28123.463333333333,5.397649477490227
False,False,False,False,False,0.75,131250,393750,7317.389999999999,21949.86666666667,848851.6666666666,8203358.666666667,29267.256666666668,6.364587216726762
False,False,False,False,False,0.75,150000,450000,9200.576666666666,27595.2,1956422.3333333333,10764332.0,36795.776666666665,8.561963807167333
False,False,False,False,False,0.75,168750,506250,8621.846666666666,25838.266666666666,16324355.333333334,28434308.333333332,34460.113333333335,25.404423988596022
False,False,False,False,False,0.75,187500,562500,6961.566666666667,20535.566666666666,753245348.3333334,813044554.0,27497.13333333333,797.9049337415654
False,False,False,False,False,0.75,206250,618750,5294.283333333333,15861.699999999999,1912767022.6666667,1916527217.0,21155.98333333333,1915.5862286339482
False,False,False,False,False,0.75,225000,675000,5508.373333333333,16505.100000000002,2285931700.6666665,2295055024.0,22013.473333333335,2292.772118880951
False,False,False,False,False,0.75,243750,731250,5569.400000000001,16687.3,3002034294.3333335,3006710145.6666665,22256.7,3005.5400851268796
False,False,False,False,False,0.75,262500,787500,5739.72,17188.266666666666,3273793656.0,3279193680.0,22927.986666666668,3277.841854992253
False,False,False,False,False,0.75,281250,843750,5374.593333333333,16092.433333333334,3431256148.3333335,3445036511.6666665,21467.02666666667,3441.5863902291576
False,False,False,False,False,0.75,300000,900000,5358.22,16057.666666666666,3511117364.0,3533417638.3333335,21415.886666666665,3527.838145978046
False,False,True,True,True,0.75,18750,56250,1138.3566666666666,3414.47,97496.33333333333,4563938.0,4552.826666666666,3.4471804294223567
False,False,True,True,True,0.75,37500,112500,2343.6566666666663,7031.026666666668,78361.66666666667,4889406.333333333,9374.683333333334,3.6866524369352915
False,False,True,True,True,0.75,56250,168750,3515.476666666667,10546.566666666668,87605.33333333333,5284470.0,14062.043333333335,3.985266460199754
False,False,True,True,True,0.75,75000,225000,4687.25,14062.0,106463.66666666667,5767359.666666667,18749.25,4.352154537074816
False,False,True,True,True,0.75,93750,281250,5859.0,17577.3,132408.33333333334,6421446.333333333,23436.3,4.849206959285382
False,False,True,True,True,0.75,112500,337500,7030.893333333333,21092.733333333334,418237.6666666667,7239133.0,28123.626666666667,5.533912400434209
False,False,True,True,True,0.75,131250,393750,8202.523333333333,24607.600000000002,1526963.0,8537782.666666666,32810.12333333334,6.785079352589144
False,False,True,True,True,0.75,150000,450000,4026.98,12077.933333333334,1755618344.6666667,1762787232.0,16104.913333333334,1760.9946755722774
False,False,True,True,True,0.75,168750,506250,3395.9733333333334,10175.736666666666,3085352429.6666665,3095157981.3333335,13571.71,3092.70439280406
False,False,True,True,True,0.75,187500,562500,3285.366666666667,9853.943333333335,3498664360.0,3509890106.0,13139.310000000001,3507.083208855716
False,False,True,True,True,0.75,206250,618750,3174.2066666666665,9519.269999999999,3527757585.6666665,3533748003.6666665,12693.476666666666,3532.2500039262445
False,False,True,True,True,0.75,225000,675000,3381.5099999999998,10134.800000000001,4038762157.6666665,4038391392.0,13516.310000000001,4038.4841501425317
False,False,True,True,True,0.75,243750,731250,3199.563333333333,9596.166666666666,4070427405.6666665,4087892463.3333335,12795.73,4083.525337884076
False,False,True,True,True,0.75,262500,787500,3219.5933333333337,9653.273333333333,3958029537.6666665,3967878364.3333335,12872.866666666667,3965.415104400776
False,False,True,True,True,0.75,281250,843750,3339.5699999999997,10010.44,4419226990.333333,4418091880.333333,13350.01,4418.375833626455
False,False,True,True,True,0.75,300000,900000,3329.9366666666665,9985.203333333333,4466873324.333333,4481817094.0,13315.14,4478.079859051568
False,True,False,False,False,0.75,18750,56250,2373.2866666666664,2204.8333333333335,88828.33333333333,3045063.6666666665,4578.12,1.5125582058816962
False,True,False,False,False,0.75,37500,112500,2418.7676666666666,2809.963333333333,104446.0,3285983.3333333335,5228.731,1.81423050608719
False,True,False,False,False,0.75,56250,168750,3144.6200000000003,9433.306666666665,103379.33333333333,5330322.666666667,12577.926666666666,4.023529346872042
False,True,False,False,False,0.75,75000,225000,4766.71,9373.5,113242.66666666667,3839623.3333333335,14140.21,2.58344849663666
False,True,False,False,False,0.75,93750,281250,5857.286666666667,17572.100000000002,137670.66666666666,6367103.333333333,23429.38666666667,4.80976111953668
False,True,False,False,False,0.75,112500,337500,6551.033333333333,19459.733333333334,368028.0,7181954.0,26010.766666666666,5.46580864646563
False,True,False,False,False,0.75,131250,393750,7209.18,21624.7,788713.6666666666,8099632.0,28833.88,6.27172239399831
False,True,False,False,False,0.75,150000,450000,8331.746666666666,24982.400000000005,284842967.3333333,299780354.0,33314.14666666667,296.04456803453695
False,True,False,False,False,0.75,168750,506250,7394.95,22156.36666666667,121539030.33333333,131820940.33333333,29551.31666666667,129.24798525278138
False,True,False,False,False,0.75,187500,562500,5149.576666666667,15429.6,1523159139.6666667,1532928974.6666667,20579.176666666666,1530.484245454799
False,True,False,False,False,0.75,206250,618750,4670.85,13995.299999999997,1740064049.3333333,1756948280.0,18666.149999999998,1752.7233215158242
False,True,False,False,False,0.75,225000,675000,5730.513333333333,17170.066666666666,2824766702.0,2837507892.6666665,22900.579999999998,2834.319608221562
False,True,False,False,False,0.75,243750,731250,4466.626666666666,13368.433333333334,2359687271.0,2357972865.6666665,17835.06,2358.4022227072
False,True,False,False,False,0.75,262500,787500,4320.2,12957.533333333333,2759019220.0,2783294923.3333335,17277.733333333334,2777.224920311679
False,True,False,False,False,0.75,281250,843750,4778.746666666667,14287.799999999997,2944802147.3333335,2952011295.6666665,19066.546666666665,2950.2044297370508
False,True,False,False,False,0.75,300000,900000,7208.816666666667,21355.2,2349509033.3333335,2383050680.0,28564.016666666666,2374.5856386740625
True,False,False,False,False,0.75,18750,56250,1171.7733333333333,3515.51,1469927.0,4592004.666666667,4687.283333333334,3.811516888516092
True,False,False,False,False,0.75,37500,112500,2343.62,7030.983333333333,1635886.6666666667,5014605.333333333,9374.603333333333,4.169936779367138
True,False,False,False,False,0.75,56250,168750,3306.896666666667,9920.636666666667,496942174.0,500584123.6666667,13227.533333333335,499.6736325789203
True,False,False,False,False,0.75,75000,225000,2774.2586666666666,8323.44,2249132198.6666665,2251535739.3333335,11097.698666666667,2250.934890118963
True,False,False,False,False,0.75,93750,281250,3320.9500000000003,9962.75,2882779196.6666665,2884871049.6666665,13283.7,2884.348082479787
True,False,False,False,False,0.75,112500,337500,5572.31,16717.176666666666,1532459375.6666667,1536897999.0,22289.486666666668,1535.788355446676
True,False,False,False,False,0.75,131250,393750,6324.206666666668,18972.353333333333,1661152071.6666667,1665814414.0,25296.56,1664.648816129509
True,False,False,False,False,0.75,150000,450000,2042.6373333333333,6127.756666666667,4328719650.666667,4327387458.333333,8170.394,4327.720512748488
True,False,False,False,False,0.75,168750,506250,7876.543333333334,23629.986666666664,1748327659.3333333,1757224951.6666667,31506.53,1755.0006537635707
True,False,False,False,False,0.75,187500,562500,5324.34,15643.88,2410504257.3333335,2559287607.3333335,20968.22,2521.5079034891824
True,False,False,False,False,0.75,206250,618750,2624.53,7874.59,5840780113.0,5841690716.333333,10499.12,5841.4630871828485
True,False,False,False,False,0.75,225000,675000,3439.056666666666,10313.199999999999,4674020737.666667,4682252041.333333,13752.256666666664,4680.193621363698
True,False,False,False,False,0.75,243750,731250,2290.0666666666666,6869.7300000000005,5668788558.666667,5669423958.666667,9159.796666666667,5669.265100515885
True,False,False,False,False,0.75,262500,787500,2540.036666666667,7614.77,4270308977.6666665,4273834503.6666665,10154.806666666667,4272.9526586839675
True,False,False,False,False,0.75,281250,843750,4498.193333333334,13488.200000000003,4344394837.666667,4353240466.666667,17986.393333333337,4351.0282750026945
True,False,False,False,False,0.75,300000,900000,2670.3633333333332,8006.13,4737466875.333333,4741943734.0,10676.493333333334,4740.823999377522
