quorumCheckOnRead,ongaroLeaseEnabled,leaseGuardEnabled,deferCommitEnabled,inheritLeaseEnabled,write_ratio,reads,writes,opsPerSec_read,opsPerSec_write,p50latencyNanos_read,p50latencyNanos_write,total_ops_per_sec,combined_p50_ms
False,False,False,False,False,0.25,56250,18750,3515.4500000000003,1171.8366666666666,66267.33333333333,4052003.6666666665,4687.286666666667,1.0627141716034245
False,False,False,False,False,0.25,112500,37500,6140.913333333334,2046.7633333333333,67677.33333333333,4461931.666666667,8187.676666666667,1.1661572822819497
False,False,False,False,False,0.25,168750,56250,10546.466666666667,3515.52,75308.33333333333,4582307.0,14061.986666666668,1.2020654785522638
False,False,False,False,False,0.25,225000,75000,14062.133333333333,4687.346666666667,103829.66666666667,4713012.333333333,18749.48,1.2561195973024912
False,False,False,False,False,0.25,281250,93750,16867.63333333333,5621.860000000001,113396.66666666667,4859489.0,22489.493333333332,1.2998114181953808
False,False,False,False,False,0.25,337500,112500,18811.733333333334,6269.93,126963.33333333333,5028343.0,25081.663333333334,1.352213309979885
False,False,False,False,False,0.25,393750,131250,24608.533333333336,8202.89,138843.66666666666,5149654.333333333,32811.42333333334,1.3915515511105696
False,False,False,False,False,0.25,450000,150000,25025.8,8341.103333333334,155716.66666666666,5330875.333333333,33366.903333333335,1.449409784479584
False,False,False,False,False,0.25,506250,168750,31639.900000000005,10546.533333333333,159449.66666666666,5455012.666666667,42186.433333333334,1.4833310020944068
False,False,False,False,False,0.25,562500,187500,35155.566666666666,11718.266666666668,172215.66666666666,5639107.333333333,46873.833333333336,1.5389162292643728
False,False,False,False,False,0.25,618750,206250,34403.36666666666,11466.5,193218.0,5779073.333333333,45869.86666666666,1.5895641163974028
False,False,False,False,False,0.25,675000,225000,42185.86666666667,14062.0,218613.33333333334,5971599.666666667,56247.86666666667,1.656863325973054
False,False,False,False,False,0.25,731250,243750,40629.86666666667,13541.333333333334,276188.3333333333,6209639.666666667,54171.200000000004,1.7593905205061813
